date,coin,severity,direction,price_change,close_price,pre_sentiment,avg_pre_sentiment,dominant_topic,cause_category,cause_weights,supporting_headlines,news_available,data_source
2024-02-26,bitcoin,significant,rally,+5.39%,54522.4,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-02-28,bitcoin,significant,rally,+9.49%,62504.79,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-03-04,bitcoin,significant,rally,+8.17%,68330.41,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-03-05,bitcoin,significant,crash,-6.63%,63801.2,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-03-16,bitcoin,significant,crash,-5.89%,65315.12,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-03-19,bitcoin,significant,crash,-8.34%,61912.77,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-03-20,bitcoin,significant,rally,+9.69%,67913.67,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-04-02,bitcoin,significant,crash,-6.10%,65446.97,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-04-13,bitcoin,significant,crash,-5.02%,63821.47,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-04-30,bitcoin,significant,crash,-5.02%,60636.86,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-05-03,bitcoin,significant,rally,+6.37%,62889.84,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-05-15,bitcoin,significant,rally,+7.66%,66267.49,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-05-20,bitcoin,significant,rally,+7.80%,71448.2,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-07-04,bitcoin,significant,crash,-5.31%,56977.7,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-07-15,bitcoin,significant,rally,+6.72%,64870.15,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-08-02,bitcoin,significant,crash,-6.03%,61415.07,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-08-05,bitcoin,significant,crash,-7.10%,53991.46,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-08-08,bitcoin,catastrophic,rally,+12.14%,61710.14,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-08-23,bitcoin,significant,rally,+6.15%,64094.36,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-08-27,bitcoin,significant,crash,-5.37%,59504.13,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-10-14,bitcoin,significant,rally,+5.08%,66046.12,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-11-06,bitcoin,significant,rally,+9.05%,75639.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-11-11,bitcoin,catastrophic,rally,+10.22%,88701.48,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-11-25,bitcoin,significant,crash,-5.01%,93102.3,unavailable,,unavailable,unavailable,{},[],False,backfill
2024-12-18,bitcoin,significant,crash,-5.75%,100041.54,unavailable,,unavailable,unavailable,{},[],False,backfill
2025-01-07,bitcoin,significant,crash,-5.05%,96922.7,unavailable,,unavailable,unavailable,{},[],False,backfill
2025-02-24,bitcoin,significant,crash,-5.04%,91418.17,unavailable,,unavailable,unavailable,{},[],False,backfill
