date,coin,severity,direction,price_change,close_price,pre_sentiment,avg_pre_sentiment,dominant_topic,cause_category,cause_weights,supporting_headlines,news_available,data_source
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,Neutral,0.0,"squabble, squabble gets, slaps, slaps lawsuit, ugly",unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-12,usdt,significant,rally,+5.48%,1.05,unavailable,,unavailable,unavailable,{},[],False,backfill
2020-03-13,usdt,significant,crash,-5.12%,1.0,unavailable,,unavailable,unavailable,{},[],False,backfill
2017-12-12,usdt,significant,rally,+5.82%,1.08,unavailable,,unavailable,unavailable,{},[],False,backfill
